review panel,medicalspeciality,productcode,devicename,deviceclass,unclassifiedreason,gmpexemptflag,thirdpartyflag,regulationnumber ,submissiontypeID,definition,physicalstate ,technicalmethod ,targetarea,implant flag,life sustain support flag,summarymalfunctionreporting
AN,AN,BWL,"Apparatus, Electronanesthesia",3,,N,N,868.539978,2,Call for PMAs 12/26/96 (61 FR 50706 (9/27/96)),,,,N,N,Eligible
AN,AN,BXA,"Analyzer, Gas, Water Vapor, Gaseous-Phase",1,,N,N,868.1975098,4,,,,,N,N,Eligible
AN,AN,BXH,"Gauge, Gas Pressure, Cylinder/Pipeline",1,,N,N,868.2609863,4,,,,,N,N,Eligible
AN,AN,BXJ,"Clip, Nose",1,,Y,N,868.6224976,4,,,,,N,N,Eligible
AN,AN,BXK,"Gas, Calibration (Specified Concentration)",1,,N,N,868.6400146,4,,,,,N,N,Eligible
AN,AN,BXL,"Algesimeter, Manual",1,,Y,N,868.1030273,4,,,,,N,N,Eligible
AN,AN,BXM,"Stimulator, Nerve, Ac-Powered",2,,N,P,868.2775269,1,,,,,N,N,Eligible
AN,AN,BXN,"Stimulator, Nerve, Battery-Powered",2,,N,P,868.2775269,1,,,,,N,N,Eligible
AN,AN,BXO,"Transducer, Gas Pressure",1,,N,N,868.289978,4,,,,,N,N,Eligible
AN,AN,BXP,"Transducer, Gas Flow",1,,N,N,868.2885132,4,,,,,N,N,Eligible
AN,AN,BXQ,Rhinoanemometer (Measurement Of Nasal Decongestion),2,,N,P,868.1799927,1,,,,,N,N,Eligible
AN,AN,BXR,"Meter, Airway Pressure (Inspiratory Force)",2,,N,P,868.1779785,1,,,,,N,N,Eligible
AN,AN,BXW,"Calibrator, Volume, Gas",1,,N,N,868.1870117,4,,,,,N,N,Eligible
AN,AN,BXX,"Calibrator, Pressure, Gas",1,,N,N,868.2620239,4,,,,,N,N,Eligible
AN,AN,BXY,"Flowmeter, Calibration, Gas",1,,N,N,868.2349854,4,,,,,N,N,Eligible
AN,AN,BYD,"Condenser, Heat And Moisture (Artificial Nose)",1,,N,N,868.5374756,4,,,,,N,N,Eligible
AN,AN,BYE,"Attachment, Breathing, Positive End Expiratory Pressure",2,,N,P,868.5964966,1,,,,,N,Y,Eligible
AN,AN,BYF,"Mask, Oxygen, Low Concentration, Venturi",1,,N,N,868.5599976,4,,,,,N,N,Eligible
AN,AN,BYG,"Mask, Oxygen",1,,N,N,868.5579834,4,,,,,N,N,Eligible
AN,AN,BYH,"Drain, Tee (Water Trap)",1,,N,N,868.5994873,4,,,,,N,N,Eligible
AN,AN,BYI,"Percussor, Powered-Electric",2,,N,P,868.5665283,1,,,,,N,N,Eligible
AN,AN,BYJ,"Unit, Liquid-Oxygen, Portable",2,,N,P,868.5654907,1,,,,,N,N,Eligible
AN,AN,BYK,"Tent, Oxygen, Electrically Powered",2,,N,P,868.5709839,1,,,,,N,Y,Eligible
AN,AN,BYL,"Tent, Oxygen",1,,N,N,868.5700073,4,,,,,N,N,Eligible
AN,AN,BYM,"Tube, Thorpe, Uncompensated",1,,N,N,868.2319946,4,,,,,N,N,Eligible
AN,AN,BYN,"Chair, Posture, For Cardiac And Pulmonary Treatment",1,,N,N,868.536499,4,,,,,N,N,Eligible
AN,AN,BYO,"Bottle, Blow",1,,Y,N,868.5219727,4,,,,,N,N,Eligible
AN,AN,BYP,"Mouthpiece, Breathing",1,,N,N,868.5620117,4,,,,,N,N,Eligible
AN,AN,BYR,"Transducer, Gas Pressure, Differential",1,,N,N,868.2874756,4,,,,,N,N,Eligible
CV,CV,BYS,"Oxygenator, Long Term Support Greater Than 6 Hours",2,,N,N,870.4099731,1,,,,,N,Y,Eligible
AN,AN,BYT,"Ventilator, External Body, Negative Pressure, Adult (Cuirass)",2,,N,N,868.5935059,1,,,,,N,Y,Eligible
AN,AN,BYW,"Device, Rebreathing",1,,N,N,868.5675049,4,,,,,N,N,Eligible
AN,AN,BYX,"Tubing, Pressure And Accessories",1,,N,N,868.5859985,4,,,,,N,N,Eligible
HO,HO,BYY,"Tube, Aspirating, Flexible, Connecting",2,,N,N,880.6740112,4,,,,,N,N,Eligible
HO,HO,BYZ,"Trap, Sterile Specimen",2,,N,N,880.6740112,4,,,,,N,N,Eligible
AN,AN,BZA,"Connector, Airway (Extension)",1,,N,N,868.5809937,4,,,,,N,N,Eligible
AN,AN,BZB,"Catheter, Nasal, Oxygen",1,,N,N,868.5349731,4,,,,,N,N,Eligible
AN,AN,BZC,"Calculator, Pulmonary Function Data",2,,N,P,868.1879883,1,,,,,N,N,Eligible
AN,AN,BZD,"Ventilator, Non-Continuous (Respirator)",2,,N,N,868.5905151,1,,,,,N,N,Eligible
AN,AN,BZE,"Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer",2,,N,P,868.5269775,1,,,,,N,N,Eligible
AN,AN,BZG,"Spirometer, Diagnostic",2,,N,P,868.184021,1,,,,,N,N,Eligible
AN,AN,BZH,"Meter, Peak Flow, Spirometry",2,,N,P,868.1859741,1,,,,,N,N,Eligible
AN,AN,BZK,"Spirometer, Monitoring (W/Wo Alarm)",2,,N,P,868.1849976,1,,,,,N,N,Eligible
AN,AN,BZL,"Computer, Oxygen-Uptake",2,,N,P,868.1729736,1,,,,,N,N,Eligible
AN,AN,BZM,"Calculator, Pulmonary Function Interpretor (Diagnostic)",2,,N,P,868.1900024,1,,,,,N,N,Eligible
AN,AN,BZN,"Cart, Emergency, Cardiopulmonary (Excluding Equipment)",1,,Y,N,868.6174927,4,,,,,N,N,Eligible
AN,AN,BZO,"Set, Tubing And Support, Ventilator (W Harness)",1,,N,N,868.5974731,4,,,,,N,N,Eligible
AN,AN,BZQ,"Monitor, Breathing Frequency",2,,N,Y,868.2374878,1,,,,,N,N,Eligible
AN,AN,BZR,"Mixer, Breathing Gases, Anesthesia Inhalation",2,,N,P,868.53302,1,,,,,N,Y,Eligible
AN,AN,BZS,Stethoscope Head,1,,N,N,868.1929932,4,,,,,N,N,Eligible
AN,AN,BZT,"Stethoscope, Esophageal, With Electrical Conductors",2,,N,P,868.1920166,1,,,,,N,N,Eligible
AN,AN,BZW,"Stethoscope, Esophageal",1,,N,N,868.190979,4,,,,,N,N,Eligible
AN,AN,CAC,"Apparatus, Autotransfusion",2,,N,N,868.5830078,1,,,,,N,Y,Eligible
AN,AN,CAD,"Vaporizer, Anesthesia, Non-Heated",2,,N,P,868.5880127,1,,,,,N,N,Eligible
AN,AN,CAE,"Airway, Oropharyngeal, Anesthesiology",1,,N,N,868.5109863,4,,,,,N,N,Eligible
AN,AN,CAF,Nebulizer (Direct Patient Interface),2,,N,Y,868.5629883,1,,,,,N,N,Eligible
AN,AN,CAG,"Circulator, Breathing-Circuit",2,,N,P,868.5250244,1,,,,,N,Y,Eligible
HO,AN,CAH,"Filter, Bacterial, Breathing-Circuit",2,,N,P,868.526001,1,,,,,N,N,Eligible
AN,AN,CAI,"Circuit, Breathing (W Connector, Adaptor, Y Piece)",1,,N,N,868.5239868,4,,,,,N,N,Eligible
HO,HO,CAK,"Microfilter, Blood Transfusion",2,,N,N,880.5440063,1,,,,,N,N,Eligible
AN,AN,CAL,"Laryngoscope, Non-Rigid",1,,N,N,868.5529785,4,,,,,N,N,Eligible
AN,AN,CAM,"Yoke Assembly, Medical Gas",1,,N,N,868.6884766,4,,,,,N,N,Eligible
AN,AN,CAN,"Regulator, Pressure, Gas Cylinder",1,,N,N,868.2700195,4,,,,,N,N,Eligible
AN,AN,CAO,"Airway, Esophageal (Obturator)",2,,N,N,868.5650024,1,,,,,N,Y,Eligible
AN,AN,CAP,"Monitor, Airway Pressure (Includes Gauge And/Or Alarm)",2,,N,P,868.2600098,1,,,,,N,N,Eligible
HO,HO,CAR,"Monitor, Spinal-Fluid Pressure, Electrically Powered",2,,N,P,880.2459717,1,,,,,N,N,Eligible
AN,AN,CAT,"Cannula, Nasal, Oxygen",1,,N,N,868.5339966,4,,,,,N,N,Eligible
AN,AN,CAW,"Generator, Oxygen, Portable",2,,N,Y,868.5440063,1,,,,,N,N,Eligible
AN,AN,CAX,"Flowmeter, Tube, Thorpe, Back-Pressure Compensated",1,,N,N,868.2340088,4,,,,,N,N,Eligible
AN,AN,CAZ,Anesthesia Conduction Kit,2,,N,P,868.5139771,1,"This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,N,Eligible
AN,AN,CBA,"Monitor, Air Embolism, Ultrasonic",2,,N,P,868.2025146,1,,,,,N,N,Eligible
HO,HO,CBC,"Bottle, Collection And Trap, Breathing System (Uncalibrated)",2,,N,N,880.6740112,4,,,,,N,N,Eligible
HO,HO,CBD,"Bottle, Collection, Breathing System (Calibrated)",2,,N,N,880.6740112,4,,,,,N,N,Eligible
AN,AN,CBF,"Chamber, Hyperbaric",2,,N,Y,868.5469971,1,,,,,N,Y,Eligible
AN,AN,CBG,"Spreader, Cuff",1,,Y,N,868.5759888,4,,,,,N,N,Eligible
AN,AN,CBH,"Device, Fixation, Tracheal Tube",1,,N,N,868.5770264,4,,,,,N,N,Eligible
AN,AN,CBI,"Tube, Tracheal/Bronchial, Differential Ventilation (W/Wo Connector)",2,,N,N,868.5739746,1,,,,,N,Y,Eligible
AN,AN,CBK,"Ventilator, Continuous, Facility Use",2,,N,N,868.5894775,1,,,,,N,Y,Eligible
AN,AN,CBL,"Absorbent, Carbon-Dioxide",1,,N,N,868.5300293,4,,,,,N,N,Eligible
AN,AN,CBN,"Apparatus, Gas-Scavenging",2,,N,P,868.5430298,1,,,,,N,N,Eligible
AN,AN,CBO,"Attachment, Intermittent Mandatory Ventilation (Imv)",2,,N,N,868.59552,1,,,,,N,Y,Eligible
AN,AN,CBP,"Valve, Non-Rebreathing",2,,N,P,868.5869751,1,,,,,N,Y,Eligible
AN,AN,CBQ,"Analyzer, Gas, Enflurane, Gaseous-Phase (Anesthetic Concentration)",2,,N,P,868.1500244,1,,,,,N,N,Eligible
AN,AN,CBR,"Analyzer, Gas, Nitrous-Oxide, Gaseous Phase (Anesthetic Conc.)",2,,N,P,868.1699829,1,,,,,N,N,Eligible
AN,AN,CBS,"Analyzer, Gas, Halothane, Gaseous-Phase (Anesthetic Conc.)",2,,N,P,868.1619873,1,,,,,N,N,Eligible
AN,AN,CBT,Arterial Blood Sampling Kit,1,,N,N,868.1099854,7,"This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.","This product code has been established in accordance with the May 20, 1997, Guidance entitled, Convenience Kits Interim Regulatory Guidance, found at www.fda.gov/cdrh/ode/convkit.html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,N,Eligible
AN,AN,CBZ,"Analyzer, Ion, Hydrogen-Ion (Ph), Blood-Phase, Indwelling",2,,N,P,868.1170044,1,,,,,N,N,Eligible
AN,AN,CCC,"Analyzer, Gas, Carbon-Dioxide, Partial Pressure, Blood-Phase, Indwelling",2,,N,P,868.1149902,1,,,,,N,N,Eligible
AN,AN,CCE,"Analyzer, Gas, Oxygen, Partial Pressure, Blood-Phase, Indwelling",2,,N,P,868.1199951,1,,,,,N,N,Eligible
AN,AN,CCI,"Analyzer, Gas, Nitrogen, Gaseous-Phase",2,,N,P,868.1690063,1,,,,,N,N,Eligible
AN,AN,CCJ,"Analyzer, Gas, Carbon-Monoxide, Gaseous-Phase",2,,N,P,868.1430054,1,,,,,N,N,Eligible
AN,AN,CCK,"Analyzer, Gas, Carbon-Dioxide, Gaseous-Phase",2,,N,P,868.1400146,1,,,,,N,N,Eligible
AN,AN,CCL,"Analyzer, Gas, Oxygen, Gaseous-Phase",2,,N,P,868.1719971,1,,,,,N,N,Eligible
AN,AN,CCM,"Plethysmograph, Pressure",2,,N,P,868.1749878,1,,,,,N,N,Eligible
AN,AN,CCN,"Flowmeter, Nonback-Pressure Compensated, Bourdon Gauge",1,,N,N,868.2299805,4,,,,,N,N,Eligible
AN,AN,CCO,"Bed, Rocking, Breathing Assist",2,,N,P,868.5180054,4,,,,,N,Y,Eligible
AN,AN,CCQ,"Nebulizer, Medicinal, Non-Ventilatory (Atomizer)",1,,N,N,868.5640259,4,,,,,N,N,Eligible
AN,AN,CCT,"Applicator (Laryngo-Tracheal), Topical Anesthesia",2,,N,P,868.5170288,1,,,,,N,N,Eligible
AN,AN,CCW,"Laryngoscope, Rigid",1,,N,N,868.5540161,4,,,,,N,N,Eligible
AN,AN,CCX,"Support, Patient Position",1,,N,N,868.6820068,4,,,,,N,N,Eligible
CH,CH,CCY,"Zimmerman (Spectrophotometric), 17-Ketosteroids",1,,N,N,862.1430054,4,,,,,N,N,Eligible
CH,CH,CCZ,"Zimmerman/Norymberski, 17-Ketogenic Steroids",1,,N,N,862.1384888,4,,,,,N,N,Eligible
CH,CH,CDA,"Acid, Nitrous And Nitrosonaphthol, 5-Hydroxyindole Acetic Acid/Serotonin",1,,N,N,862.1389771,4,,,,,N,N,Eligible
CH,CH,CDB,"Porter Silber Hydrazone, 17-Hydroxycorticosteroids",1,,N,N,862.1384888,4,,,,,N,N,Eligible
CH,CH,CDC,"L-Leucyl B-Naphthylamide, Leucine Aminopeptidase",1,,N,N,862.1459961,4,,,,,N,N,Eligible
CH,CH,CDD,"Radioassay, Vitamin B12",2,,N,P,862.1810303,1,,,,,N,N,Eligible
CH,CH,CDE,"Chromatographic Separation/Zimmerman, 17-Ketosteroids",1,,N,N,862.1430054,4,,,,,N,N,Eligible
CH,CH,CDF,"Acid, Vanilmandelic, Diazo, P-Nitroaniline/Vanillin",1,,N,N,862.1795044,4,,,,,N,N,Eligible
CH,CH,CDG,Chromatography Separation/Zimmerman 17-Ketogenic Steroids,1,,N,N,862.1384888,4,,,,,N,N,Eligible
CH,CH,CDH,"Acid, Uric, Phosphotungstate Reduction",1,,N,Y,862.1774902,4,,,,,N,N,Eligible
CH,CH,CDK,"Acid, Vanilmandelic, Electrophoretic Separation",1,,N,N,862.1795044,4,,,,,N,N,Eligible
CH,CH,CDL,"Berthelot Indophenol, Urea Nitrogen",2,,N,Y,862.177002,1,,,,,N,N,Eligible
CH,CH,CDM,"Diazonium Colorimetry, Urobilinogen (Urinary, Non-Quant.)",1,,N,N,862.1785278,4,,,,,N,N,Eligible
CH,CH,CDN,"Urease, Photometric, Urea Nitrogen",2,,N,Y,862.177002,1,,,,,N,N,Eligible
CH,CH,CDO,"Acid, Uric, Uricase (U.V.)",1,,N,Y,862.1774902,4,,,,,N,N,Eligible
CH,CH,CDP,"Radioimmunoassay, Total Triiodothyronine",2,,N,N,862.1710205,4,,,,,N,N,Eligible
CH,CH,CDQ,"Urease And Glutamic Dehydrogenase, Urea Nitrogen",2,,N,Y,862.177002,1,,,,,N,N,Eligible
CH,CH,CDR,"1-Nitroso-2-Naphthol (Fluorometric), Free Tyrosine",1,,N,Y,862.1729736,1,,,,,N,N,Eligible
CH,CH,CDS,"Electrode, Ion Specific, Urea Nitrogen",2,,N,Y,862.177002,1,,,,,N,N,Eligible
CH,CH,CDT,"Lipase Hydrolysis/Glycerol Kinase Enzyme, Triglycerides",1,,N,N,862.1704712,4,,,,,N,N,Eligible
CH,CH,CDW,"Diacetyl-Monoxime, Urea Nitrogen",2,,N,Y,862.177002,1,,,,,N,N,Eligible
CH,CH,CDX,"Radioimmunoassay, Total Thyroxine",2,,N,P,862.1699829,4,,,,,N,N,Eligible
CH,CH,CDZ,"Radioimmunoassay, Testosterones And Dihydrotestosterone",1,,N,Y,862.1680298,1,,,,,N,N,Eligible
CH,CH,CEA,Tlc Chromatographic Separation Triglycerides,1,,N,N,862.1704712,4,,,,,N,N,Eligible
CH,CH,CEC,"Radioimmunoassay, Free Thyroxine",2,,N,P,862.1694946,1,,,,,N,N,Eligible
CH,CH,CED,"5-Amp-Phosphate Release (Colorimetric Test), 5'-Nucleotidase",1,,N,N,862.1519775,4,,,,,N,N,Eligible
CH,CH,CEE,"Radioimmunoassay, Thyroxine-Binding Globulin",2,,N,P,862.1685181,4,,,,,N,N,Eligible
CH,CH,CEF,"Electrophoretic, Protein Fractionation",1,,N,N,862.1630249,4,,,,,N,N,Eligible
CH,CH,CEI,"Uranyl Acetate/Zinc Acetate, Sodium",2,,N,Y,862.1665039,1,,,,,N,N,Eligible
CH,CH,CEJ,"Tetraphenyl Borate, Colorimetry, Potassium",2,,N,Y,862.1599731,1,,,,,N,N,Eligible
CH,CH,CEK,"Biuret (Colorimetric), Total Protein",2,,N,N,862.1635132,4,,,,,N,N,Eligible
CH,CH,CEL,"Ammonium Molybdate And Ammonium Vanadate, Phospholipids",1,,N,N,862.1574707,4,,,,,N,N,Eligible
CH,CH,CEM,"Electrode, Ion Specific, Potassium",2,,N,Y,862.1599731,1,,,,,N,N,Ineligible
CH,CH,CEN,"Dye-Indicator, Ph (Urinary, Non-Quantitative)",1,,N,N,862.1550293,4,,,,,N,N,Eligible
CH,CH,CEO,"Phosphomolybdate (Colorimetric), Inorganic Phosphorus",1,,N,Y,862.15802,4,,,,,N,N,Eligible
CH,CH,CEP,"Radioimmunoassay, Luteinizing Hormone",1,,N,N,862.1484985,4,,,,,N,N,Eligible
CH,CH,CEQ,"Molybdenum Blue Method, Phospholipids",1,,N,N,862.1574707,4,,,,,N,N,Eligible
CH,CH,CER,"2,4-Dinitrophenylhydrazine, Lactate Dehydrogenase",2,,N,N,862.1439819,4,,,,,N,N,Eligible
CH,CH,CES,"Chromogenesis, Phenylketones (Urinary, Non-Quant.)",1,,N,N,862.1560059,4,,,,,N,N,Eligible
CH,CH,CET,"Olive Oil Emulsion (Turbidimetric), Lipase",1,,N,N,862.1464844,4,,,,,N,N,Eligible
CH,CH,CEW,"Radioimmunoassay, Parathyroid Hormone",2,,N,P,862.15448,1,,,,,N,N,Eligible
CH,CH,CEX,"Chromatographic Separation, Lactate Dehydrogenase Isoenzymes",2,,N,P,862.1444702,4,,,,,N,N,Eligible
CH,CH,CFA,"Electrode, Ion Specific, Magnesium",1,,N,Y,862.1494751,1,,,,,N,N,Eligible
CH,CH,CFB,"Chromatographic Derivative, Total Lipids",1,,N,N,862.1469727,4,,,,,N,N,Eligible
CH,CH,CFD,"Sulfophosphovanillin, Colorimetry, Total Lipids",1,,N,N,862.1469727,4,,,,,N,N,Eligible
CH,CH,CFE,"Electrophoretic, Lactate Dehydrogenase Isoenzymes",2,,N,P,862.1444702,4,,,,,N,N,Eligible
IM,IM,CFF,"Immunoelectrophoretic, Immunoglobulins, (G, A, M)",2,,N,P,866.5510254,1,,,,,N,N,Eligible
CH,CH,CFG,"Oil Emulsion/Thymolphthalein (Titrimetric), Lipase",1,,N,N,862.1464844,4,,,,,N,N,Eligible
CH,CH,CFH,"Tetrazolium Int Dye-Diaphorase, Lactate Dehydrogenase",2,,N,N,862.1439819,4,,,,,N,N,Eligible
CH,CH,CFJ,"Nad Reduction/Nadh Oxidation, Lactate Dehydrogenase",2,,N,N,862.1439819,4,,,,,N,N,Eligible
CH,CH,CFL,"Radioimmunoassay, Human Growth Hormone",1,,N,N,862.1370239,4,,,,,N,N,Eligible
CH,CH,CFM,"Bathophenanthroline, Colorimetry, Iron (Non-Heme)",1,,N,Y,862.1409912,4,,,,,N,N,Eligible
IM,IM,CFN,"Method, Nephelometric, Immunoglobulins (G, A, M)",2,,N,P,866.5510254,1,,,,,N,N,Eligible
CH,CH,CFO,"Titrimetric, Magnesium",1,,N,Y,862.1494751,1,,,,,N,N,Eligible
CH,CH,CFP,"Radioimmunoassay, Immunoreactive Insulin",1,,N,N,862.1405029,4,,,,,N,N,Eligible
IM,IM,CFQ,"Radioimmunoassay, Immunoglobulins (G, A, M)",2,,N,P,866.5510254,1,,,,,N,N,Eligible
CH,CH,CFR,"Hexokinase, Glucose",2,,N,Y,862.1345215,1,,,,,N,N,Ineligible
CH,CH,CFT,"Radioimmunoassay, Prolactin (Lactogen)",1,,N,N,862.1624756,4,,,,,N,N,Eligible
CH,CH,CFW,"Copper Reduction, Glucose",2,,N,Y,862.1345215,1,,,,,N,N,Ineligible
CH,CH,CGA,"Glucose Oxidase, Glucose",2,,N,Y,862.1345215,1,,,,,N,N,Ineligible
CH,CH,CGC,"Radioimmunoassay, Gastrin",1,,N,N,862.1325073,4,,,,,N,N,Eligible
CH,CH,CGD,"Ferricyanide, Glucose",2,,N,Y,862.1345215,1,,,,,N,N,Ineligible
CH,CH,CGE,"Orthotoluidine, Glucose",2,,N,Y,862.1345215,1,,,,,N,N,Ineligible
CH,CH,CGF,"Radioimmunoassay, Estrone",1,,N,N,862.1279907,4,,,,,N,N,Eligible
